Ref,x,y,Connectivity,Isovist Area,Isovist Compactness,Isovist Drift Angle,Isovist Drift Magnitude,Isovist Max Radial,Isovist Min Radial,Isovist Occlusivity,Isovist Perimeter,Point First Moment,Point Second Moment
721001,361356.6,10201.2,1044,597.40015,0.024191109,12.443135,12.143145,64.549606,3.1746874,450.48804,557.06989,15080.447,331598.53
721002,361356.6,10201.8,1013,617.42029,0.023851281,6.9660864,13.037145,64.629158,3.1964953,463.78989,570.34747,13822.968,285699.97
721003,361356.6,10202.4,973,635.3902,0.01961864,1.9470165,14.252197,64.882713,3.2183032,530.92523,637.95599,12436.764,244642.69
721004,361356.6,10203,960,626.28967,0.02207608,357.87222,13.385964,64.960159,3.2401111,483.48349,597.07867,11816.651,219652.56
721006,361356.6,10204.2,1068,619.79608,0.018789006,357.55634,12.340247,63.932434,3.2837269,534.35834,643.83923,15728.418,384589.81
721007,361356.6,10204.8,1021,586.95691,0.028518461,352.9502,10.897311,42.307652,3.3060336,402.89346,508.56326,13273.525,256413.95
721008,361356.6,10205.4,1038,589.55054,0.018159796,350.67816,11.609849,65.243439,3.3915911,530.57092,638.71924,14072.427,296447.41
721009,361356.6,10206,973,576.13647,0.023066154,347.97064,11.201096,52.873077,3.1825469,450.36166,560.24762,12166.327,231769.8
721010,361356.6,10206.6,944,561.78058,0.018824624,344.61252,10.909427,52.072945,2.6043189,502.88177,612.38586,11419.419,203483.16
721011,361356.6,10207.2,961,577.27484,0.021072876,342.08038,13.0382,65.433922,2.0387125,479.93967,586.72467,13082.859,294260.03
721012,361356.6,10207.8,931,580.46399,0.01660303,338.7832,14.255542,65.508286,1.5000733,555.71515,662.82501,13041.6,311747.03
721013,361356.6,10208.4,831,555.39282,0.014954448,333.01611,13.880647,53.251831,1.0315484,580.05756,683.15601,10185.576,191781.72
721014,361356.6,10209,861,570.73608,0.019363683,332.5704,15.528794,63.680943,0.77328116,506.65201,608.59534,12398.29,301496.75
721015,361356.6,10209.6,657,371.45551,0.043795723,311.4332,10.78991,50.90633,0.77408975,244.38737,326.46939,7149.8994,116096.4
721016,361356.6,10210.2,681,468.71024,0.024178632,326.80484,14.48831,50.831608,0.78794467,408.28171,493.56152,8908.5469,174805.56
721017,361356.6,10210.8,445,260.00751,0.078135148,295.42072,10.612439,52.937763,0.77168369,139.96706,204.49123,4886.6709,91955.883
721018,361356.6,10211.4,369,208.8811,0.053406037,277.48587,9.5566139,68.623154,0.75543708,163.26627,221.69675,4114.3398,86316.477
721019,361356.6,10212,312,175.99202,0.13676414,265.51913,8.0213861,25.30756,0.73919046,72.814896,127.16433,2932.1543,39832.922
721020,361356.6,10212.6,273,161.67113,0.14059705,261.86646,8.0939178,23.839367,0.72294384,67.806084,120.20791,2421.698,32040.721
721021,361356.6,10213.2,260,156.69066,0.25427464,261.25632,8.4745836,24.435524,0.70669729,36.28368,87.998436,2313.7302,31119.48
721022,361356.6,10213.8,252,154.07941,0.2505877,261.2038,8.8766241,25.031862,0.69045067,36.46476,87.901718,2276.3333,31201.561
721023,361356.6,10214.4,248,153.65041,0.24395292,261.46271,9.1840048,25.628374,0.67420405,37.217884,88.96492,2281.4487,31827.6
721024,361356.6,10215,250,161.18855,0.21118423,263.36472,8.8895597,26.225042,0.65795749,42.12991,97.935753,2306.7078,32424.119
721025,361356.6,10215.6,305,177.23941,0.12107356,268.6051,8.5028963,26.821861,0.72173953,75.487114,135.63145,2764.9402,37093.68
721026,361356.6,10216.2,361,282.49487,0.030321758,303.60849,18.148891,57.213856,0.34219307,281.87939,342.16299,4606.9619,111141
721027,361356.6,10216.8,58,41.366383,0.20302339,19.813438,4.3378816,14.331258,0.016869459,24.793747,50.600601,364.53903,3075.48
721028,361356.6,10217.4,127,69.056915,0.14838921,352.92969,3.6450424,15.883612,0.61671811,39.929745,76.47287,803.7124,6274.4399
721029,361356.6,10218,263,214.37325,0.015844503,316.92477,20.76256,58.722683,0.39669803,362.336,412.33569,3560.5454,100476
786518,361357.2,10189.8,89,34.415787,0.054934282,58.308708,11.245202,27.2981,0.20494613,75.447197,88.728279,996.95422,15180.48
786519,361357.2,10190.4,27,10.451704,0.21966942,350.64407,4.1351609,9.7112484,0.33047444,11.71316,24.451962,109.8563,632.15997
786527,361357.2,10195.2,885,545.8045,0.022027459,37.951248,13.845466,64.910576,2.1518173,466.53098,558.00909,13742.443,305451.38
786528,361357.2,10195.8,909,598.5882,0.021884885,29.278761,15.423595,64.761917,2.724942,492.33368,586.26892,14414.265,341928.72
786531,361357.2,10197.6,999,591.17059,0.027842386,22.461189,12.642605,56.58923,3.6434433,414.23166,516.54492,16317.353,414659.53
786532,361357.2,10198.2,1000,599.04333,0.02917131,21.938789,12.52703,56.600502,3.6652513,407.12253,507.99109,15741.896,384497.28
786533,361357.2,10198.8,947,579.07904,0.029546019,26.131855,11.271846,42.324451,3.6870592,393.35214,496.27725,12690.103,240117.48
